"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"0500000US12105","Polk County, Florida","639","43946",
"0500000US12107","Putnam County, Florida","1755","34645",
"0500000US12109","St. Johns County, Florida","1464","62663",
"0500000US12111","St. Lucie County, Florida","1116","45196",
"0500000US12113","Santa Rosa County, Florida","1483","55129",
"0500000US12115","Sarasota County, Florida","870","49388",
"0500000US12117","Seminole County, Florida","1032","58971",
"0500000US12119","Sumter County, Florida","1511","43079",
"0500000US12121","Suwannee County, Florida","2996","36352",
"0500000US12123","Taylor County, Florida","3939","37408",
"0500000US12125","Union County, Florida","2421","41794",
"0500000US12127","Volusia County, Florida","707","44400",
"0500000US12129","Wakulla County, Florida","4288","53301",
"0500000US12131","Walton County, Florida","2310","47273",
"0500000US12133","Washington County, Florida","3523","36216",
"0500000US13001","Appling County, Georgia","3421","36155",
"0500000US13003","Atkinson County, Georgia","2102","33834",
"0500000US13005","Bacon County, Georgia","2399","31429",
"0500000US13007","Baker County, Georgia","8328","27462",
"0500000US13009","Baldwin County, Georgia","2319","37237",
"0500000US13011","Banks County, Georgia","3888","40455",
"0500000US13013","Barrow County, Georgia","2093","48958",
"0500000US13015","Bartow County, Georgia","1978","49216",
"0500000US13017","Ben Hill County, Georgia","4546","30134",
"0500000US13019","Berrien County, Georgia","3497","32202",
"0500000US13021","Bibb County, Georgia","1666","38798",
"0500000US13023","Bleckley County, Georgia","6241","35661",
"0500000US13025","Brantley County, Georgia","3149","37343",
"0500000US13027","Brooks County, Georgia","5645","41309",
"0500000US13029","Bryan County, Georgia","3489","63244",
"0500000US13031","Bulloch County, Georgia","1554","34327",
"0500000US13033","Burke County, Georgia","2788","33155",
"0500000US13035","Butts County, Georgia","6350","52257",
"0500000US13037","Calhoun County, Georgia","6209","30522",
"0500000US13039","Camden County, Georgia","2238","49230",
"0500000US13043","Candler County, Georgia","4162","35828",
"0500000US13045","Carroll County, Georgia","1656","45559",
"0500000US13047","Catoosa County, Georgia","2369","46544",
"0500000US13049","Charlton County, Georgia","5494","40850",
